Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note
24.1,25.3,26.9,82.2,Harvest,Organic Compost,16.1,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
28.8,63.5,27.8,67.6,Panicle Initiation,DAP,22.9,Phosphorus for root development,Prefer organic alternatives where possible.
23.8,74.1,35.7,81.6,Panicle Initiation,Urea,20.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
22.8,32,32.6,61.7,Flowering,Zinc Sulphate,9.7,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
25.9,43.7,35.4,90.7,Panicle Initiation,DAP,25.6,Phosphorus for root development,Use split application to reduce leaching.
31.1,34.4,35.3,75.8,Harvest,Organic Compost,14.2,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
30.5,66.3,34.5,94.1,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Ensure soil testing before application.
22.1,43.3,34.5,71.1,Seedling,DAP,20.3,Phosphorus for root development,Prefer organic alternatives where possible.
28.8,67.8,34.3,81.7,Tillering,MOP,20.8,Potassium for stem and disease resistance,Use split application to reduce leaching.
33.3,73.3,27.1,62.8,Harvest,Organic Compost,14.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
31.6,37.6,30.7,63.8,Flowering,Zinc Sulphate,9,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
25.8,57.1,35.6,79.8,Tillering,MOP,20,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
25.2,56.3,30.5,77.1,Flowering,Zinc Sulphate,9.8,Improves grain quality and resistance,Use split application to reduce leaching.
29.1,62.1,32.1,92.6,Tillering,Urea,32.7,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
24.9,42.4,30.8,90.8,Flowering,MOP,22.9,Potassium for stem and disease resistance,Ensure soil testing before application.
24.6,58,27,65.2,Flowering,Zinc Sulphate,10.8,Improves grain quality and resistance,Ensure soil testing before application.
22,66.3,31.3,85.1,Seedling,Urea,23.9,Nitrogen boost for vegetative growth,Ensure soil testing before application.
29.5,47,30.9,80,Seedling,Urea,23.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
23.8,50.5,31.7,92.1,Seedling,DAP,18.3,Phosphorus for root development,Avoid chemical overuse; combine with compost.
22.8,34.2,35.2,94.2,Panicle Initiation,DAP,23.9,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.
27.7,73.5,29.8,67.9,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
22.4,46.2,35.7,82.6,Panicle Initiation,Urea,18.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
22.5,44.2,28.9,82,Tillering,MOP,19.1,Potassium for stem and disease resistance,Use split application to reduce leaching.
23,71.9,31.3,60.6,Harvest,Organic Compost,14.8,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
22.6,70.8,35.2,63.8,Seedling,DAP,19.6,Phosphorus for root development,Prefer organic alternatives where possible.
31.3,47.9,29.8,89.9,Panicle Initiation,Urea,20.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
26.2,43.6,28.1,61.3,Harvest,Organic Compost,16.2,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
29.4,47.4,29.4,86.2,Tillering,MOP,21.7,Potassium for stem and disease resistance,Use split application to reduce leaching.
26.7,25.2,31,80.4,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
30.4,41.5,31.9,83.5,Panicle Initiation,Urea,20.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
31.9,30.2,27.8,89.9,Panicle Initiation,Urea,20.6,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
29,72.2,31.2,89.3,Harvest,Organic Compost,15.1,Improves soil structure and moisture retention,Use split application to reduce leaching.
24.3,47.7,34.4,89.8,Harvest,Organic Compost,14.3,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
23.2,41.6,28.8,70.8,Seedling,Urea,23.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
23.4,71.2,29.4,82.8,Tillering,Urea,32.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
26.7,38.1,34.6,65.8,Flowering,MOP,24.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
30.5,54.4,29.8,67.7,Tillering,Urea,37.7,Nitrogen boost for vegetative growth,Ensure soil testing before application.
29.3,25.3,27.5,73.7,Harvest,Organic Compost,16,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
33.1,55.9,33,67.2,Tillering,MOP,18.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
31.3,46.1,35,77.4,Seedling,Urea,26.3,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
23,70,32.3,62.1,Seedling,Urea,26.1,Nitrogen boost for vegetative growth,Ensure soil testing before application.
29.2,61.4,31.9,88.8,Harvest,Organic Compost,14,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
31.9,31.7,32.3,76.8,Seedling,Urea,27.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.
25.1,63.7,30.8,67.4,Panicle Initiation,Urea,19.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.
23.3,60.3,29.1,60.1,Harvest,Organic Compost,15.7,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
22.8,66,27,85.4,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
30.8,29.1,32.9,68,Flowering,Zinc Sulphate,9.6,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
32.9,34.2,27.1,68.5,Flowering,Zinc Sulphate,10.7,Improves grain quality and resistance,Prefer organic alternatives where possible.
32.5,64.1,34.9,62.9,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Ensure soil testing before application.
29.9,62.1,29.5,77.5,Tillering,MOP,21.3,Potassium for stem and disease resistance,Ensure soil testing before application.
27.1,33.9,29.3,94.2,Panicle Initiation,Urea,21.8,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
25.3,28.9,34.8,86.7,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Ensure soil testing before application.
25.5,26.4,35.4,78.8,Seedling,Urea,24.7,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
26.3,35,34.9,94.8,Tillering,MOP,18.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
28.3,51.4,33.1,62,Harvest,Organic Compost,14.6,Improves soil structure and moisture retention,Ensure soil testing before application.
31.9,27.5,29.2,75.6,Panicle Initiation,Urea,21.7,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
29.2,32.5,34.6,68.7,Tillering,Urea,35.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
26.4,53.6,29.3,69.5,Seedling,DAP,18.3,Phosphorus for root development,Prefer organic alternatives where possible.
24.3,70.7,33.9,72.4,Harvest,Organic Compost,16.1,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
30.6,70.2,33.1,86.1,Seedling,Urea,26.1,Nitrogen boost for vegetative growth,Ensure soil testing before application.
26.8,28.4,33.3,68.3,Harvest,Organic Compost,13.5,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
27.8,33.7,27.7,77.8,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
30.8,38.1,28.4,88.4,Harvest,Organic Compost,13.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
31.8,29.5,27.9,90.5,Harvest,Organic Compost,14.1,Improves soil structure and moisture retention,Ensure soil testing before application.
30.8,40.7,32.8,89.9,Seedling,DAP,19.4,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.
33.3,48.9,28.7,71.3,Seedling,DAP,18.4,Phosphorus for root development,Use split application to reduce leaching.
29.1,39.7,35.9,89.5,Seedling,Urea,24.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.
25.6,41.9,33.4,77.6,Panicle Initiation,Urea,19.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
32.2,47.6,35.4,87.4,Harvest,Organic Compost,16.3,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
22.4,37.3,31.2,75.2,Panicle Initiation,Urea,19.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
33.8,28,31.1,87.4,Panicle Initiation,Urea,19.8,Nitrogen boost for vegetative growth,Ensure soil testing before application.
28.1,27.3,33.2,60.3,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
23.9,62.1,32.2,72.3,Harvest,Organic Compost,14.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
25,35.3,33.1,73.6,Tillering,Organic Compost,27.4,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
28.3,47.6,27.3,61.1,Seedling,Urea,27,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
22.3,39.2,33.9,75.6,Flowering,MOP,26.8,Potassium for stem and disease resistance,Use split application to reduce leaching.
25.6,73.2,28.8,93.2,Seedling,Urea,22.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
32.9,62.8,31,68.5,Panicle Initiation,DAP,26.8,Phosphorus for root development,Use split application to reduce leaching.
25.4,29.9,33.3,61,Seedling,DAP,21.7,Phosphorus for root development,Use split application to reduce leaching.
24.5,61.7,33.7,64.5,Panicle Initiation,Urea,20.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
26.6,56.8,31.2,64.7,Seedling,Urea,23.9,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
33.8,40.5,32.1,80.4,Harvest,Organic Compost,14.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
25.4,63.6,30.5,65.3,Tillering,Urea,34.2,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
26.9,25.7,35,61.5,Panicle Initiation,DAP,22.7,Phosphorus for root development,Avoid chemical overuse; combine with compost.
29.9,46.4,30.4,91.6,Harvest,Organic Compost,14,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
23.6,37.8,33.1,71,Harvest,Organic Compost,15.6,Improves soil structure and moisture retention,Ensure soil testing before application.
22,61.9,28.4,94.4,Flowering,MOP,23,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
27,49.8,27.7,73.7,Seedling,DAP,18.3,Phosphorus for root development,Avoid chemical overuse; combine with compost.
24,51.8,28.7,82.7,Tillering,Organic Compost,28.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
33.2,61.1,32.5,62.6,Panicle Initiation,Urea,19.3,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
24.6,29.7,30.5,76,Flowering,Zinc Sulphate,9.6,Improves grain quality and resistance,Prefer organic alternatives where possible.
24.9,42.8,32.4,74.8,Tillering,Organic Compost,32.7,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
23.5,44.7,33.9,64.3,Tillering,MOP,18.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
33.5,70.9,33.4,73.4,Harvest,Organic Compost,16.3,Improves soil structure and moisture retention,Use split application to reduce leaching.
28.2,67.5,35.9,83.9,Flowering,MOP,24.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
27.6,47.6,28.6,89.8,Seedling,Urea,26.4,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
22.7,58.9,30.7,68.5,Panicle Initiation,DAP,27.2,Phosphorus for root development,Use split application to reduce leaching.
22.5,48.8,35.4,79.9,Harvest,Organic Compost,16.5,Improves soil structure and moisture retention,Use split application to reduce leaching.
22.9,74.7,27,68.8,Flowering,Zinc Sulphate,9.4,Improves grain quality and resistance,Ensure soil testing before application.
32,48.7,28.9,88.1,Panicle Initiation,Urea,18.6,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
33.3,61.8,31.2,77.6,Tillering,Organic Compost,31.1,Improves soil structure and moisture retention,Ensure soil testing before application.
29.5,37.8,34.5,82,Tillering,Organic Compost,28.9,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
27.9,35.2,33.5,92.6,Tillering,MOP,19.2,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
23.8,29.2,26.7,85.5,Tillering,MOP,18.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
24.6,35.3,33.8,66.6,Seedling,Urea,25.2,Nitrogen boost for vegetative growth,Ensure soil testing before application.
27,44.4,27.3,68,Tillering,Urea,38.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
23.7,63.4,28.2,64.3,Seedling,DAP,19.7,Phosphorus for root development,Use split application to reduce leaching.
29.7,27.2,31.1,92.6,Seedling,Urea,23.9,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
32.3,42.6,32.2,70,Panicle Initiation,Urea,18.1,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
27.5,40.9,30.4,87.1,Seedling,Urea,24.4,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
27.1,71.5,26.8,82.9,Harvest,Organic Compost,14.8,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
25.6,33,34,77.8,Tillering,MOP,19.1,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
24.9,67.5,33.9,74.4,Seedling,Urea,24,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
32.2,73.6,31.6,90.9,Panicle Initiation,Urea,19.5,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
22.7,47.4,30.5,91.1,Flowering,MOP,23,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
29.8,45.1,29.3,90.9,Tillering,Urea,33.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.
